team_id,hex,label
team:oreum_hs,#2C7E96,하늘
team:seogwi_hs,#64A4E8,파랑
team:seongsan_hs,#1F449E,남색
team:aewol_hs,#433371,보라
team:hallyu_univ,#D03563,빨강
team:baeksan_univ,#962D1D,주황
team:hangang_univ,#F6AA59,노랑
team:gwanak_univ,#8FAA22,연두
team:namsan_univ,#49AA46,초록
team:bukhansan_univ,#19805A,청록
team:songdo_univ,#79A9D8,하늘
team:suri_univ,#215CDE,파랑
team:gyeongin_univ,#4A7EBA,남색
team:gwanggyo_univ,#4C2AA9,보라
team:byeollae_univ,#7A1F71,자주
team:hanam_univ,#BA1C7B,분홍
team:hwahong_univ,#918536,카키
team:osan_univ,#98473E,갈색
team:sosa_univ,#8695AE,회색
team:gwanyang_univ,#4E657E,검정
team:wolmi_univ,#E35270,빨강
team:sihwa_univ,#E9724F,주황
team:banwol_univ,#AE5F09,노랑
team:jinwi_univ,#A1C026,연두
team:baekje_univ,#2F6D2C,초록
team:yuseong_univ,#278674,청록
team:gyeryong_univ,#53E1E9,하늘
team:sangdang_univ,#217DDE,파랑
team:seonghwan_univ,#2865CA,남색
team:asan_univ,#3F2A79,보라
team:seosan_univ,#BE47B2,자주
team:okcheon_univ,#CD62A2,분홍
team:seoseok_univ,#A85F57,갈색
team:bitgoeul_univ,#5F5A3A,카키
team:wansan_univ,#787C8C,회색
team:yudal_univ,#3A3B5F,검정
team:odong_univ,#EF4678,빨강
team:seungju_univ,#DA461B,주황
team:namak_univ,#E7B47E,노랑
team:dalgubeol_univ,#6B8019,연두
team:biseul_univ,#1F7D1C,초록
team:hyeongsan_univ,#27C48A,청록
team:hahoe_univ,#1697AC,하늘
team:yeongcheon_univ,#376CE1,파랑
team:haedong_univ,#3D86D9,남색
team:geumjeong_univ,#574292,보라
team:taehwa_univ,#BF71B8,자주
team:namgang_univ,#C54792,분홍
team:bunseong_univ,#653934,갈색
team:geoje_univ,#7B754C,카키
team:tongyeong_univ,#414862,회색
team:chiak_univ,#484D51,검정
team:seorak_univ,#E283A0,빨강
team:seogwi_univ,#BB4624,주황
team:seoul_royals,#2A386F,남색
team:seoul_guardians,#AC0F30,빨강
team:seoul_cobras,#30C52B,초록
team:incheon_sharks,#219FDE,파랑
team:suwon_knights,#494E77,검정
team:daejeon_phantoms,#DC5A46,주황
team:gwangju_panthers,#F49530,노랑
team:daegu_sabers,#6F797D,회색
team:busan_waves,#194980,남색
team:changwon_stars,#2C9196,하늘
team:seoul_royals_farm,#192E80,남색
team:seoul_guardians_farm,#960D1E,빨강
team:seoul_cobras_farm,#45D667,초록
team:incheon_sharks_farm,#7794D4,파랑
team:suwon_knights_farm,#54576B,검정
team:daejeon_phantoms_farm,#F57B43,주황
team:gwangju_panthers_farm,#D8870B,노랑
team:daegu_sabers_farm,#555D7F,회색
team:busan_waves_farm,#223377,남색
team:changwon_stars_farm,#88D1DD,하늘
