team_id,stars,source
team:seolbong_hs,2,doc
team:seonggeo_hs,2,doc
team:seonghwan_univ,2,doc
team:seongsan_hs,2,doc
team:seorak_hs,3,doc
team:seorak_univ,2,doc
team:seosan_univ,2,doc
team:seoseok_univ,4,doc
team:seoul_cobras,3,doc
team:seoul_cobras_farm,3,farm_inherit
team:seoul_comets,1,budget_inverse
team:seoul_guardians,4,doc
team:seoul_guardians_farm,4,farm_inherit
team:seoul_ravens,4,budget_inverse
team:seoul_royals,5,doc
team:seoul_royals_farm,5,farm_inherit
team:seungju_hs,2,doc
team:seungju_univ,2,doc
team:sihwa_hs,2,doc
team:sihwa_univ,2,doc
team:sincheon_hs,3,doc
team:sinjeong_hs,2,doc
team:songdo_univ,4,doc
team:songrim_hs,3,doc
team:sosa_univ,2,doc
team:suri_univ,4,doc
team:suseong_hs,3,doc
team:suwon_knights,4,doc
team:suwon_knights_farm,4,farm_inherit
team:taebaek_hs,2,doc
team:taehwa_hs,3,doc
team:taehwa_univ,3,doc
team:taejong_hs,2,doc
team:tangeum_hs,2,doc
team:tongyeong_hs,2,doc
team:tongyeong_univ,1,doc
team:wansan_hs,3,doc
team:wansan_univ,3,doc
team:wolmi_univ,2,doc
team:wolmyeong_hs,3,doc
team:wonju_winners,1,budget_inverse
team:yangcheon_hs,4,doc
team:yeongcheon_univ,1,doc
team:yeongil_hs,2,doc
team:yeongnam_hs,3,doc
team:yeonsu_hs,2,doc
team:yesan_hs,2,doc
team:yudal_hs,3,doc
team:yudal_univ,2,doc
team:yuseong_hs,3,doc
team:yuseong_univ,3,doc
