
═══ 커리어 흐름별 콘텐츠 ═══════════════════════════════════

### 전체 공용 (어느 무대에서나)  —  17종

  W50      [필수] 시즌 마무리                    알림
  ~W2      [조건] 기숙사 첫날 밤                  선택 3
  ~W6      [조건] 마음에 들지 않는 포지션 배정          선택 2
  상시       [조건] 수업 중 졸음 사고                선택 2
  ~W4      [조건] 신입생 환영 회식                 선택 2
  ~W10     [조건] 집이 그리운 밤                  선택 2
  ~W3      [조건] 첫 훈련 - 선배들의 속도를 따라가라      선택 2

### 고교 2학년  —  26종

  W1       [필수] 새 시즌이 시작됩니다               알림
  W5~      [조건] 감독의 이닝 이터 요구              선택 2
  W5~      [조건] 신입생 구속이 내 수준에 근접          선택 2
  W5~      [랜덤] 주말 자율 훈련의 유혹              선택 3
  W8~      [랜덤] 원정 장거리 이동                 선택 3
  W8~      [조건] 팀 에이스 부상, 당신이 1선발로        선택 2
  W9       [필수] 중간고사 기간입니다                알림
  W10~     [조건] 4경기 연속 부진, 슬럼프            선택 3
  W10~     [조건] 동기들 사이의 갈등                선택 2
  W10~     [조건] 비공식 연습경기 제안               선택 2
  W10~     [조건] 스카우트 방문 소문                선택 2
  W10~     [조건] 지역 신문 인터뷰 요청              선택 2
  W10~     [조건] 코치의 방과 후 개인 훈련 제안         선택 2
  W11      [필수] 중간고사 기간입니다                알림
  W15~     [조건] 구종 개발 제안                  선택 2
  W15~     [조건] 마무리 한 경기 제안               선택 2
  W15~     [조건] 팀 성적 하위권                  선택 2
  W21      [필수] 하계 합숙 훈련 안내               알림
  W25~35   [조건] 진로 상담 주간                  선택 2
  W27~38   [조건] 팀 상위권 진입 — 감독 메시지         알림
  W30~     [조건] 동기의 야구 고민                 선택 2
  W34      [필수] 고2 유망주 TOP 10 중간 결산       알림
  W40~     [조건] 3학년 에이스의 마지막 경기           선택 2
  W41      [필수] 기말고사 기간입니다                알림
  W50      [필수] 시즌 마무리                    알림
  ~W5      [조건] 새 코치의 투구폼 변경 지시           선택 2

### 고교 3학년  —  30종

  W1       [필수] 새 시즌이 시작됩니다               알림
  W5~18    [조건] 시즌 5승 달성!                 알림
  W5~      [조건] 후배 구종 전수 요청               선택 2
  W9~17    [조건] 시즌 5승 달성!                 알림
  W10~     [조건] 1학년 때 훈련 영상 발견            선택 2
  W10~     [조건] 드래프트 에이전트 비공식 연락          선택 2
  W10~     [조건] 부모님이 처음으로 경기 관람           선택 2
  W10      [필수] 중간고사 기간입니다                알림
  W10~     [조건] 첫 팬레터 수신                  선택 2
  W12      [필수] 중간고사 기간입니다                알림
  W13~21   [조건] 팀 상위권 진입 — 감독 메시지         알림
  W15~     [조건] 대학 코치 직접 방문               선택 2
  W16~     [조건] 동기의 야구 포기 선언              선택 2
  W16~     [조건] 라이벌과의 마지막 포스트시즌 대결        선택 2
  W16~21   [조건] 졸업 전 마지막 연습경기 선발          선택 2
  W18      [필수] 고3 드래프트 전 TOP 10 특집       알림
  W18~     [조건] 어깨 통증 경고 신호               선택 2
  W18~     [조건] 포스트시즌 탈락 직후               선택 2
  W20~26   [조건] 고교 마지막 여름 캠프              선택 2
  W20~     [조건] 프로팀 비공식 테스트 제안            선택 2
  W21~     [조건] 마지막 경기가 될 수도 있는 전야        선택 2
  W22      [필수] 하계 합숙 훈련 안내               알림
  W23~     [조건] 졸업 앨범 한마디 제출              선택 2
  W23~     [조건] 후배에게 주장 완장 이임             선택 2
  W24      [필수] 기말고사 기간입니다                알림
  W25~     [조건] 3년 야구부 생활 회고              선택 2
  W25~     [조건] 마지막 시즌 마무리 연설             선택 2
  W26      [필수] 시즌 마무리                    알림
  W27      [필수] 시즌 마무리                    알림
  ~W3      [조건] 주장으로서 첫 훈련 지휘             선택 2


══ 대학 (4년 · 진로 허브 4학년 W29) ══

### 대학 공용 (학년 무관)  —  63종

  W2       [필수] 개강                        선택 2
  W6~      [랜덤] 코치 피드백: 투구 폼 교정           선택 4
  W6~      [조건] 학점이 위험하다                  선택 2
  W8~      [랜덤] 선발 경쟁 주간 안내               선택 2
  W8~11    [조건] 시험 기간                     선택 2
  W8~      [조건] 타지 생활                     선택 2
  W10~     [조건] 과 동기                      알림
  W10~20   [조건] 전국대회 진출                   선택 2
  W11      [필수] 중간고사                      알림
  W12~     [랜덤] 교수 면담                     선택 2
  W12~     [조건] 조 1위                      선택 2
  W14~     [조건] 조 하위권                     선택 2
  W14~     [조건] 출석 부족                     선택 2
  W16~     [조건] 등판 기회 부족                  선택 2
  W16~     [조건] 생활비                       선택 2
  W18~30   [랜덤] 동아리 축제                    선택 3
  W20      [필수] 계절학기                      선택 2
  W20~     [조건] 대회 탈락                     선택 2
  W20~     [조건] 전공 고민                     선택 2
  W20~     [조건] 후배 지도                     선택 2
  W24~     [조건] 선배 방문                     선택 2
  W24~     [조건] 선배의 자리                    선택 2
  W28~     [조건] 야구를 그만둔 동기                선택 2
  W30~     [조건] 1학년인데 지명 이야기              선택 2
  W30~34   [조건] 쇼케이스                      선택 2
  W30~     [조건] 졸업 논문                     선택 2
  W30~     [랜덤] 주목도 증가로 인한 심리 부하          알림
  W32~     [조건] 대학 올스타                    선택 2
  W34~     [조건] 졸업 위태                     선택 2
  W34~     [조건] 졸업이 보인다                   선택 2
  W36~     [조건] 얼리 드래프트                   선택 2
  W38      [필수] 기말고사                      알림
  W40      [필수] 종강                        알림
  W44      [필수] 팀 MT                      선택 2
  상시       [조건] 감각이 올라왔다                  선택 2
  상시       [랜덤] 강의실                       선택 2
  상시       [조건] 과부하                       선택 2
  상시       [랜덤] 과제 마감                     선택 2
  상시       [랜덤] 교내 SNS에서 이름이 오르내렸습니다      알림
  상시       [랜덤] 기숙사                       선택 2
  상시       [랜덤] 대학 동기와 협업 제안              선택 3
  상시       [랜덤] 대학 리그 특집 인터뷰 요청           선택 2
  상시       [랜덤] 대학 매체에서 투구 분석기사 게재        알림
  상시       [조건] 대학 시즌 슬럼프 경고              선택 3
  상시       [조건] 대학 시즌 피크 폼 알림             선택 2
  상시       [랜덤] 도서관                       알림
  상시       [랜덤] 몸 상태 체크 필요                선택 4
  상시       [랜덤] 방학기 회복일 선택                선택 3
  상시       [조건] 부상 신호                     선택 2
  상시       [조건] 부진                        선택 2
  상시       [조건] 우수한 학점                    선택 2
  상시       [조건] 유급                        선택 2
  상시       [조건] 자신감                       선택 2
  상시       [조건] 장학금                       선택 2
  상시       [조건] 주가 상승                     선택 2
  상시       [조건] 주가 하락                     선택 2
  상시       [조건] 출전 정지                     선택 2
  상시       [랜덤] 친구가 연락해왔습니다               선택 3
  상시       [랜덤] 캠퍼스                       알림
  상시       [랜덤] 캠퍼스의 스카우트                 알림
  상시       [조건] 팀의 에이스                    선택 2
  상시       [조건] 학보사 인터뷰                   선택 2
  상시       [조건] 학사 경고                     선택 2

### 대학 1학년  —  12종

  W1       [필수] 대학 시즌이 시작되었습니다            알림
  W4~      [조건] 고교와는 다른 훈련량               선택 3
  W8~      [조건] 대학 무대 첫 등판                선택 4
  W8       [필수] 대학 시즌이 시작되었습니다            알림
  W12~     [조건] 선배의 벽                     선택 3
  W12      [필수] 중간고사                      알림
  W14~22   [조건] 보직 경쟁에 대한 코칭스태프 평가        알림
  W20~     [조건] 전공을 고른다                   선택 4
  W24      [필수] 방학기 집중 훈련 구간 시작           선택 3
  W50      [필수] 학년 마무리 보고                 알림
  상시       [조건] 낯선 방                      선택 4
  상시       [조건] 첫 학사 경고 위험                선택 2

### 대학 2학년  —  13종

  W1       [필수] 대학 시즌이 시작되었습니다            알림
  W6~      [조건] 신입생이 들어왔다                 선택 2
  W10~     [조건] 자리를 다툰다                   선택 4
  W12      [필수] 중간고사                      알림
  W14~     [조건] 먼저 간 친구                   선택 3
  W18      [필수] 보직 경쟁에 대한 코칭스태프 평가        알림
  W20~     [조건] 대학 시즌 피크 폼 알림             선택 2
  W22~30   [조건] 여름 리그 초청                  선택 3
  W24      [필수] 방학기 집중 훈련 구간 시작           선택 3
  W28~     [조건] 스카우트 시선이 존재합니다            알림
  W50      [필수] 학년 마무리 보고                 알림
  상시       [조건] 처음 보는 시선                  선택 3
  상시       [조건] 학비와 시간                    선택 2

### 대학 3학년  —  12종

  W1       [필수] 대학 시즌이 시작되었습니다            알림
  W12      [필수] 중간고사                      알림
  W12~     [조건] 후배가 물어온다                  선택 3
  W16~     [조건] 얼리 드래프트                   선택 2
  W24      [필수] 방학기 집중 훈련 구간 시작           선택 3
  W30~     [조건] 드래프트 평가가 갱신되었습니다          알림
  W30~     [조건] 주장 후보                     선택 2
  W34      [필수] 드래프트 평가가 갱신되었습니다          알림
  W50      [필수] 학년 마무리 보고                 알림
  상시       [조건] 말할까 말까                    선택 2
  상시       [조건] 에이전트의 연락                  선택 2
  상시       [조건] 학점과 야구                    선택 3

### 대학 4학년  —  13종

  W1       [필수] 대학 시즌이 시작되었습니다            알림
  W12      [필수] 중간고사                      알림
  W12~     [조건] 지명이 안 될까                  선택 3
  W14~     [조건] 졸업이 걸려 있다                 선택 2
  W18~     [조건] 실업팀 제안                    선택 3
  W19~     [조건] 주요 구단 스카우트 집중 마크          알림
  W22~     [조건] 주요 구단 스카우트 집중 마크          알림
  W22~     [조건] 후배에게 넘긴다                  선택 2
  W24~     [조건] 마지막 홈경기                   선택 3
  W24      [필수] 방학기 집중 훈련 구간 시작           선택 3
  W27      [필수] 학년 마무리 보고                 알림
  W27      [필수] 학년 마무리 보고                 알림
  ~W6      [조건] 마지막 시즌                    선택 3


══ 독립 (진로 허브 W26) ══

### 독립  —  60종

  W4       [필수] 훈련 시작                     선택 2
  W8       [필수] 개막 로스터                    선택 2
  W10      [필수] 1차 스테이지 개막                선택 2
  W10~26   [조건] 긴 이동                      선택 2
  W10~     [조건] 빈 관중석                     선택 2
  W12~     [조건] 장비 자비 부담                  알림
  W12~17   [조건] 탈락권                       선택 2
  W14~     [조건] 생존 확정                     선택 2
  W14~     [랜덤] 조명 없는 구장                  알림
  W14~     [조건] 한 사람의 팬                   선택 2
  W17      [필수] 1차 스테이지 종료                선택 2
  W17~24   [조건] 떠나는 동료                    선택 2
  W18      [필수] 2차 스테이지                   선택 2
  W20~     [조건] 빠듯한 생활                    선택 2
  W20~     [조건] 프로에 간 친구                  선택 2
  W23      [필수] 2차 스테이지 종료                알림
  W24~     [조건] 가족의 걱정                    선택 2
  W24      [필수] 최종 스테이지                   선택 2
  W25~     [조건] 사다리 진출                    선택 2
  W26      [필수] 사다리                       선택 2
  W26~     [조건] 한 시즌을 버텼다                 선택 2
  W30~     [조건] 구단 존속 이야기                 선택 2
  W30~     [조건] 나이                        선택 2
  W30      [필수] 여름 공백                     선택 3
  W34      [필수] 합동 트라이아웃                  선택 2
  W39      [필수] 진로 선택 시기                  선택 2
  W43      [필수] 1년 계약                     알림
  W47      [필수] 드래프트 당일                   선택 2
  W47~     [조건] 또 미지명                     선택 2
  W50      [필수] 겨울                        선택 2
  상시       [조건] 감각을 찾았다                   선택 2
  상시       [랜덤] 같은 처지의 상대                 알림
  상시       [조건] 관리받지 못하는 몸                선택 2
  상시       [조건] 구단 테스트                    선택 2
  상시       [랜덤] 그라운드 정비                   선택 3
  상시       [조건] 나이 많은 동료                  선택 2
  상시       [랜덤] 낡은 장비                     선택 3
  상시       [조건] 무너지는 구간                   선택 2
  상시       [랜덤] 버스에서 자다                   알림
  상시       [조건] 부상이 무섭다                   선택 2
  상시       [랜덤] 블로그 후기                    알림
  상시       [조건] 상무전                       선택 2
  상시       [랜덤] 스카우트 수첩                   선택 2
  상시       [조건] 스카우트가 왔다                  선택 2
  상시       [랜덤] 식사                        선택 2
  상시       [랜덤] 야간 훈련                     선택 2
  상시       [조건] 연승                        선택 2
  상시       [조건] 열악한 시설                    선택 2
  상시       [랜덤] 유소년 방문                    선택 3
  상시       [조건] 자리 위협                     선택 2
  상시       [조건] 좋은 성적                     선택 2
  상시       [조건] 지명 가능성                    선택 2
  상시       [랜덤] 지역 뉴스                     알림
  상시       [랜덤] 짧은 인터뷰                    선택 2
  상시       [랜덤] 캐치볼 상대                    선택 2
  상시       [조건] 코치가 한 명                   선택 2
  상시       [조건] 탈삼진 행진                    선택 2
  상시       [랜덤] 팀 미팅                      선택 2
  상시       [랜덤] 팬 카페                      알림
  상시       [랜덤] 합숙소                       선택 2


══ 군 (복무 100주 · 계급 0~3) ══

### 군 공통  —  14종

  이등병     자대 배치 첫날                  선택 1
  이등병     면회                        선택 1
  이등병     야구 소식 접하기                 선택 2
  이등병     의무대 방문                    선택 1
  이등병     부대 검열                     선택 2
  이등병     자대 배치                     선택 2
  일병      외박 획득                     선택 1
  일병      전우와 친해짐                   선택 2
  일병      편지                        선택 2
  일병      밖의 소식                     선택 2
  상병      후임 입대                     선택 1
  상병      특별 휴가                     선택 1
  병장      전역 통보서 수령                 선택 1
  병장      전역이 보인다                   선택 2

### 상무  —  20종

  이등병     첫 야구 훈련                   선택 1
  이등병     투구폼 재조정                   선택 2
  이등병     훈련 쉬는 주                   선택 1
  이등병     상무 첫 경기                   선택 2
  일병      훈련 경기 선발                  선택 2
  일병      실력 좋은 동기 투수               선택 2
  일병      코치 개인 지도                  선택 1
  일병      체력 집중 훈련 주간               선택 1
  일병      투구 슬럼프                    선택 2
  일병      부대 코치                     선택 2
  일병      프로와 붙는다                   선택 2
  일병      같은 방을 쓰는 선수               선택 2
  상병      혹독한 훈련 — 부상 위험            선택 2
  상병      체전 출전                     선택 1
  상병      팀 경기 승리                   선택 1
  상병      체육부대 특집 인터뷰               선택 1
  상병      보러 온 사람                   선택 2
  병장      전역 선배의 조언                 선택 2
  병장      마지막 훈련 경기                 선택 1
  병장      복귀 구단 연락                  선택 1

### 현역  —  20종

  이등병     훈련소 강도 훈련                 선택 1
  이등병     야구가 그리울 때                 선택 2
  이등병     선임과 갈등                    선택 2
  이등병     가족과의 통화                   선택 1
  일병      혼자 하는 투구 연습               선택 1
  일병      야간 경계 근무                  선택 1
  일병      특기병 자원                    선택 2
  일병      40km 행군                   선택 1
  일병      체력 측정                     선택 2
  일병      몸이 굳는다                    선택 2
  일병      휴가                        선택 2
  일병      공을 못 만진다                  선택 2
  일병      부대 대항전                    선택 2
  상병      부대 내 스포츠 대회               선택 1
  상병      지휘관 표창                    선택 1
  상병      후임 관리 문제                  선택 2
  상병      휴가 연장 허가                  선택 1
  상병      잊히는 중                     선택 2
  병장      전역 예행 연습                  선택 1
  병장      마지막 경계 근무                 선택 1


══ 프로 KBL 1군 ══

### 연차 무관  —  155종

  W1       [필수] 스프링캠프 소집                  선택 2
  W2       [필수] 캠프 첫 불펜                   선택 2
  W4       [필수] 연습경기 시작                   알림
  W5~8     [조건] 미디어데이                     선택 2
  W6       [필수] 개막 로스터 발표                 알림
  W6~12    [랜덤] 단체 사진                     선택 2
  W8       [필수] 개막전                       선택 2
  W10~38   [조건] 우천 취소                     선택 2
  W10      [필수] 장기 원정                     선택 2
  W10~     [랜덤] 홈 만원 관중                   알림
  W12      [필수] 4월 결산                     알림
  W12~     [조건] 가족이 온 날                   알림
  W14      [필수] 홈 팬미팅                     선택 2
  W16      [필수] 5월 결산                     알림
  W18      [필수] 시즌 중반 체력 점검               선택 2
  W20~     [조건] 1위 팀의 무게                  알림
  W20      [필수] 6월 결산                     알림
  W20~     [조건] 더블헤더                      알림
  W20~     [랜덤] 새 동료                      선택 2
  W20~     [랜덤] 시즌권 팬                     선택 2
  W22      [필수] 올스타 팬투표                   알림
  W24~     [조건] 상위권 경쟁                    알림
  W24~     [조건] 연속 야간경기                   선택 2
  W24      [필수] 올스타 휴식기                   선택 3
  W24~     [조건] 하위권                       선택 2
  W26      [필수] 후반기 시작                    알림
  W28      [필수] 7월 결산                     알림
  W30~     [조건] 5강 경계선                    선택 2
  W30~38   [조건] 트레이드 루머                   선택 2
  W30      [필수] 혹서기 관리                    선택 2
  W30~     [조건] 홈 팬의 기대                   선택 2
  W32      [필수] 8월 결산                     알림
  W34      [필수] 순위 싸움                     알림
  W36      [필수] 트레이드 마감                   알림
  W37      [필수] 9월 결산                     알림
  W38      [필수] 시즌 막바지                    선택 2
  W39      [필수] 최종전을 앞두고                  알림
  W40~     [조건] 가을 야구                     선택 2
  W40~     [조건] 우승                        알림
  W40      [필수] 정규시즌 종료                   알림
  W41      [필수] 포스트시즌                     알림
  W42      [필수] 시상식                       알림
  W43      [필수] 연봉 협상 개시                  알림
  W44~     [조건] 만족스러운 협상                  알림
  W44~     [랜덤] 비시즌 기사                    알림
  W44~50   [조건] 오프시즌 훈련 계획                선택 3
  W44~     [조건] 협상 난항                     선택 2
  W45      [필수] 마무리 캠프                    선택 2
  W46~     [랜덤] 등번호                       선택 2
  W46~51   [조건] 비시즌 여행                    선택 2
  W46~     [조건] 유소년 캠프                    선택 2
  W47      [필수] 신인 드래프트                   알림
  W49      [필수] 비활동 기간                    선택 2
  W51      [필수] 새 시즌 준비                   알림
  상시       [조건] 가라앉은 라커룸                  선택 2
  상시       [조건] 간판 선수                     선택 2
  상시       [조건] 감독 면담                     선택 2
  상시       [랜덤] 경기 후 식사                   선택 3
  상시       [조건] 골든글러브 경쟁                  알림
  상시       [랜덤] 관중석의 스카우트                 알림
  상시       [랜덤] 광고 제안                     선택 2
  상시       [조건] 구속 저하                     선택 2
  상시       [조건] 규정이닝 도달                   알림
  상시       [랜덤] 그라운드 관리인                  알림
  상시       [랜덤] 기록 기사                     알림
  상시       [랜덤] 기록 예고 기사                  알림
  상시       [조건] 기부 요청                     선택 2
  상시       [랜덤] 기자회견                      선택 3
  상시       [랜덤] 냉욕                        선택 2
  상시       [조건] 높아진 인지도                   알림
  상시       [조건] 누적 피로                     선택 3
  상시       [랜덤] 다큐 촬영                     선택 2
  상시       [조건] 떨어진 컨디션                   선택 2
  상시       [랜덤] 라디오 출연                    선택 2
  상시       [조건] 라이벌 맞대결                   선택 2
  상시       [랜덤] 라커 정리                     알림
  상시       [랜덤] 라커룸 게임                    선택 3
  상시       [조건] 로테이션 복귀                   알림
  상시       [랜덤] 로테이션 조정                   알림
  상시       [조건] 리그 최상위 방어율                선택 2
  상시       [조건] 마무리 제안                    선택 2
  상시       [랜덤] 마사지                       선택 2
  상시       [랜덤] 마운드 방문                    선택 2
  상시       [조건] 만루 위기 탈출                  알림
  상시       [조건] 몸이 가볍다                    선택 2
  상시       [조건] 미세한 통증                    선택 2
  상시       [랜덤] 배트보이                      선택 2
  상시       [조건] 보직 강등                     선택 2
  상시       [조건] 부진 기사                     선택 2
  상시       [조건] 부진이 길어진다                  선택 3
  상시       [조건] 분석당하다                     선택 2
  상시       [랜덤] 불펜 대기                     선택 2
  상시       [랜덤] 비판 칼럼                     선택 2
  상시       [조건] 빅이닝 실점                    선택 2
  상시       [랜덤] 사이드 피칭                    선택 2
  상시       [랜덤] 사인 요청                     선택 2
  상시       [랜덤] 상대 선수의 말                  선택 2
  상시       [조건] 새 구종                      선택 2
  상시       [랜덤] 선배의 조언                    선택 3
  상시       [랜덤] 수비 훈련                     선택 2
  상시       [조건] 수상 후보                     알림
  상시       [조건] 스윙맨                       선택 2
  상시       [조건] 스폰서 제안                    알림
  상시       [조건] 승리 후 인터뷰                  선택 2
  상시       [조건] 승운이 없다                    선택 2
  상시       [조건] 시즌 10승                    알림
  상시       [조건] 시즌 150탈삼진                 알림
  상시       [조건] 시즌 15승                    알림
  상시       [랜덤] 식단 관리                     선택 2
  상시       [랜덤] 심판 존                      선택 2
  상시       [조건] 안정된 시즌                    알림
  상시       [조건] 에이스                       알림
  상시       [랜덤] 온라인 랭킹                    알림
  상시       [조건] 완봉승                       알림
  상시       [랜덤] 우천 지연                     선택 2
  상시       [랜덤] 원정 버스                     알림
  상시       [랜덤] 원정 숙소의 밤                  선택 2
  상시       [랜덤] 원정 야유                     선택 2
  상시       [랜덤] 웨이트룸                      선택 2
  상시       [랜덤] 유소년 매체                    선택 2
  상시       [조건] 이닝 부담                     선택 2
  상시       [랜덤] 이동 지연                     알림
  상시       [조건] 자리 경쟁                     선택 2
  상시       [랜덤] 잠이 안 온다                   선택 2
  상시       [랜덤] 장비 점검                     선택 2
  상시       [조건] 전력분석 미팅                   선택 2
  상시       [조건] 제구 난조                     선택 2
  상시       [랜덤] 중계 마이크                    선택 2
  상시       [랜덤] 지역지 인터뷰                   선택 2
  상시       [랜덤] 치료실                       선택 2
  상시       [랜덤] 칼럼                        알림
  ~W6      [랜덤] 캠프 취재                     알림
  상시       [조건] 코치 리포트                    알림
  상시       [랜덤] 코치와의 잡담                   선택 2
  상시       [조건] 퀄리티스타트 행진                 알림
  상시       [랜덤] 타격 훈련 구경                  선택 3
  상시       [조건] 탈삼진 페이스                   선택 2
  상시       [랜덤] 투구 시간 제한                  알림
  상시       [조건] 투구수 과다                    선택 2
  상시       [랜덤] 팀 미팅                      선택 2
  상시       [조건] 팀 연승                      알림
  상시       [조건] 팀 연패                      선택 2
  상시       [랜덤] 패전 후 인터뷰                  선택 2
  상시       [랜덤] 팬레터                       선택 2
  상시       [랜덤] 포수와 식사                    선택 2
  상시       [조건] 포수와의 대화                   선택 2
  상시       [랜덤] 하이라이트                     알림
  상시       [랜덤] 화보 촬영                     선택 2
  상시       [조건] 회복 루틴                     선택 2
  상시       [랜덤] 회식                        선택 2
